FID,MSOA21CD,MSOA21NM,MEDIAN_AI,MIN_AI,MAX_AI,MEAN_PTAL_,Shape_Leng,mean_AI,Shape__Area,Shape__Length
1,E02000001,City of London 001,85.3055719134,31.7314444937,155.527729613,6b,9614.39814307,86.6385345973,3150420.33921051,9614.39814306959
2,E02000002,Barking and Dagenham 001,4.3087350684,0,7.13854459856,1b,8306.88822959,3.84667563374,2161560.66446686,8306.88822958544
3,E02000003,Barking and Dagenham 002,5.88485577032,0,16.3126660554,2,9359.51234169,6.26167480464,2141515.25018311,9359.5123416944
4,E02000004,Barking and Dagenham 003,2.87682841207,0,12.6633703593,1b,8475.84030931,3.42301566583,2492946.09667206,8475.84030931482
5,E02000005,Barking and Dagenham 004,6.04335576305,0,15.6913952524,2,7321.6571041,6.66946251541,1187954.16366577,7321.65710410139
6,E02000007,Barking and Dagenham 006,5.90682528495,0,15.1336385965,2,7070.10717969,6.31133340004,1736002.89932251,7070.1071796905
7,E02000008,Barking and Dagenham 007,7.55421096586,0,12.8095582588,2,8798.59129773,7.27329443928,1419989.37457275,8798.59129772585
8,E02000009,Barking and Dagenham 008,8.22130503145,1.91759449427,11.9790076953,2,6241.12592516,8.13679481187,961521.314369202,6241.12592516183
9,E02000010,Barking and Dagenham 009,7.61512971981,2.09398155675,15.2222304435,2,7962.69216957,7.8289720266,1121460.68700409,7962.69216956619
10,E02000011,Barking and Dagenham 010,7.75429840846,0,14.3203839117,2,7942.89789633,6.40384587852,1594080.80435944,7942.89789632718
11,E02000012,Barking and Dagenham 011,8.58271538472,0,23.5662717587,2,6428.44761234,8.66828899181,1300308.46772003,6428.44761234147
12,E02000013,Barking and Dagenham 012,8.35870370179,1.94800763432,14.7506556202,2,8008.82114459,7.6489097086,1304524.41199493,8008.82114458797
13,E02000014,Barking and Dagenham 013,11.5326121152,0,21.3591504549,3,7830.02275058,10.7395360368,1193021.03542328,7830.02275058265
14,E02000015,Barking and Dagenham 014,5.06974445806,0,14.6953534504,2,6479.42198398,5.8083945239,1361638.17334747,6479.42198398077
15,E02000016,Barking and Dagenham 015,30.3677016835,0,49.2481250981,6a,4935.40414502,25.528768604,912838.465209961,4935.40414501876
16,E02000017,Barking and Dagenham 016,25.5287237279,2.83697746239,42.6392689899,5,5229.14279253,24.000790311,876569.082221985,5229.14279253322
17,E02000018,Barking and Dagenham 017,6.74649226255,2.04363665701,14.499437355,2,6654.49202681,6.80798699326,1357709.0798111,6654.492026812
18,E02000019,Barking and Dagenham 018,4.07491418576,0,11.9518611262,1b,14491.7494594,4.4467160476,3299247.79147339,14491.7494593574
19,E02000020,Barking and Dagenham 019,5.53078773488,0,33.5338565519,2,18889.0255595,6.2590885508,4356232.37703705,18889.0255595424
20,E02000021,Barking and Dagenham 020,3.59082524629,0,15.345001513,1b,10787.0864856,3.81836247639,3296887.67059326,10787.0864856278
21,E02000022,Barking and Dagenham 021,8.54307530786,0,36.0126405289,3,5491.57748032,11.3215635958,797486.546295166,5491.57748032264
22,E02000023,Barking and Dagenham 022,5.73934442085,0,11.1382413663,2,9332.25189614,5.82272475725,1745397.28031921,9332.2518961354
23,E02000024,Barnet 001,2.91418051132,0,27.5710178475,2,14797.8242376,6.27125684821,3753626.43164062,14797.824237644
24,E02000025,Barnet 002,2.84643162987,0,24.1884883745,2,9418.57503531,5.21994793968,2401893.2547226,9418.57503530864
25,E02000026,Barnet 003,4.14635855277,0,11.9344015735,1b,10145.5261426,4.98471823785,1465738.20960999,10145.5261426255
26,E02000027,Barnet 004,3.95522641148,0,26.0148109687,2,9816.23494732,5.80755421535,1674264.84910583,9816.23494731949
27,E02000028,Barnet 005,9.79141761264,3.4375433465,22.7999935912,3,6299.12264296,10.0235867722,1055631.04091644,6299.12264295755
28,E02000029,Barnet 006,6.29294190555,0,14.4088180846,2,8396.10071738,6.73726790797,1684554.86260986,8396.10071738066
29,E02000030,Barnet 007,1.87619941956,0,16.9587682116,1a,24917.1864862,1.65232561603,14578600.6077271,24917.1864862383
30,E02000031,Barnet 008,8.52830659149,2.43905985682,20.7063258681,2,10323.7902552,9.53470687478,1939009.67533875,10323.790255163
31,E02000032,Barnet 009,5.43077666495,2.11869100023,21.489511424,2,5923.22212876,6.65876167134,1397967.94993591,5923.22212876134
32,E02000033,Barnet 010,5.07024200824,0,25.9678998515,2,7340.1210398,6.32081749197,1775722.21331787,7340.12103980424
33,E02000034,Barnet 011,4.88440260207,1.20254057476,18.705019066,2,8792.70852789,5.03541661776,1558174.73672485,8792.70852789055
34,E02000035,Barnet 012,8.41121185205,0,18.3162364694,2,9229.14281779,8.04124344419,1297955.21792603,9229.14281779435
35,E02000036,Barnet 013,5.06431084905,0,13.2162830376,2,11238.9167197,5.15907622682,1794596.81143951,11238.9167197093
36,E02000037,Barnet 014,1.82322392997,0,25.6603438364,1b,11388.016838,2.64201629593,4324652.53074646,11388.0168380233
37,E02000038,Barnet 015,8.30426483278,0,24.5227639608,2,7782.85736342,7.80515620838,1762270.3258667,7782.85736342068
38,E02000039,Barnet 016,4.82627671885,0,21.3822770043,2,10317.3023421,7.30037121962,2132014.77768707,10317.3023421045
39,E02000040,Barnet 017,2.44287151582,0,11.2315410076,1b,16980.447277,2.77846013942,5154876.59700012,16980.4472770069
40,E02000041,Barnet 018,15.9555646821,2.2565531142,39.7128061166,4,6899.70282026,16.6242763764,1349057.34275055,6899.7028202562
41,E02000042,Barnet 019,14.3329193761,0,21.3446895398,3,7528.39644187,13.9134925195,1212573.71918488,7528.39644187355
42,E02000043,Barnet 020,7.67026429374,0,19.5259570883,2,10661.5770002,7.22905301938,1467633.93738556,10661.5770001546
43,E02000044,Barnet 021,11.808230682,3.46855836875,18.1649650068,3,9037.75261199,11.5250419696,1107526.12463379,9037.75261198838
44,E02000045,Barnet 022,5.9506807164,0,12.3245768028,2,7791.48178214,5.99053716671,1734792.40325928,7791.48178214202
45,E02000046,Barnet 023,14.8221093962,3.5750836596,25.2537847338,3,7839.82425533,14.146907156,970976.680656433,7839.82425533152
46,E02000047,Barnet 024,12.8400873081,0,26.1806497686,3,7121.62958508,12.663905078,1422172.31993103,7121.62958508354
47,E02000048,Barnet 025,3.08539193502,0,22.4276334464,1b,14224.1694381,4.19159469865,3084209.36303711,14224.1694380735
48,E02000049,Barnet 026,6.47584219699,2.16339412678,14.0484606816,2,4884.15709407,7.51123589682,788467.032516479,4884.15709406751
49,E02000050,Barnet 027,5.61595513468,0,14.0687180663,1b,11318.9033719,4.90794129505,2120658.66920471,11318.9033719065
50,E02000051,Barnet 028,8.10895291966,2.42512501636,24.654334973,2,7167.09718173,9.66857496965,1448418.54423523,7167.09718172947
51,E02000052,Barnet 029,11.7561122968,2.56043175936,20.2248268579,3,8156.11293,10.0075785421,969276.585289001,8156.11292999697
52,E02000054,Barnet 031,5.88620288435,0,21.5598360141,2,10468.6578838,7.03358877552,1500658.53556824,10468.6578838486
53,E02000055,Barnet 032,12.2397228727,2.10890819589,23.1496658259,3,11230.6290006,12.799579244,1440452.46430206,11230.6290005792
54,E02000056,Barnet 033,3.7010305917,0,23.2956247418,2,12025.6934599,5.21248432392,3227096.61695862,12025.6934599246
55,E02000057,Barnet 034,11.4111707668,3.96923955098,27.8597589027,3,8374.76842606,13.1098810651,1094070.81371307,8374.76842606164
56,E02000058,Barnet 035,6.85565744671,0,26.8507884716,2,8840.03946209,7.46257021052,1813382.72777557,8840.03946209211
57,E02000059,Barnet 036,7.10491516981,0,21.0650806444,2,9106.30428992,6.00249014855,2193846.28108978,9106.30428991577
58,E02000060,Barnet 037,12.581768964,0,29.685999412,3,7377.35246073,12.390778372,1232475.9134903,7377.352460731
59,E02000061,Barnet 038,17.3179225,0,38.048535326,4,8688.79659819,17.2827414845,1586995.78234863,8688.79659818593
60,E02000062,Barnet 039,12.8404323919,0,29.9440060398,3,11776.1399979,14.1691338064,1837998.71260834,11776.1399978567
61,E02000063,Barnet 040,8.89067559485,4.39191208852,18.4957355008,2,7042.42926794,9.20689304491,1037609.39899445,7042.42926794105
62,E02000064,Barnet 041,11.6234556106,2.16461759862,19.5074674335,3,6734.55125958,10.9377972825,794376.091430664,6734.55125958298
63,E02000065,Bexley 001,0,0,12.8961879116,1b,10790.1141204,2.9070418283,4062100.4916153,10790.1141204056
64,E02000066,Bexley 002,6.56375293274,0,26.2928665937,3,9102.87111575,10.4939464757,1572599.46650696,9102.87111574739
65,E02000067,Bexley 003,5.05967910871,0,10.8322090782,1b,12042.1926282,4.85852728123,2617969.62738037,12042.1926281522
66,E02000068,Bexley 004,5.35756560622,0,14.6985469118,2,10546.6006385,6.25271189047,3582976.72462463,10546.6006385479
67,E02000069,Bexley 005,4.39943185194,0,11.9264164217,2,7920.21360278,5.08563444157,1451342.27373505,7920.21360277994
68,E02000070,Bexley 006,5.29343775494,0,24.2671457194,2,11608.354766,6.43883993409,1856161.20871735,11608.3547659594
69,E02000071,Bexley 007,3.84685645042,0,8.7063595715,1b,6075.53309071,3.60725338648,1178698.46327972,6075.53309070841
70,E02000072,Bexley 008,1.99792696389,0,12.11346672,1b,12987.8212429,3.11896710909,5602484.490448,12987.8212428826
71,E02000073,Bexley 009,5.32886828878,1.61768004122,11.9030857671,2,11449.3895764,5.88109303822,1600192.84828949,11449.3895764318
72,E02000074,Bexley 010,3.60046913198,0,10.5688085536,1b,10703.8173903,4.36596414488,1128745.53122711,10703.8173902821
73,E02000075,Bexley 011,6.48644386615,0,11.676318674,2,9081.31275448,6.44373766981,1535323.36463928,9081.3127544811
74,E02000077,Bexley 013,4.95851885265,0,13.559190313,2,5728.35506803,5.69507306295,1117417.76335907,5728.35506802901
75,E02000078,Bexley 014,5.15505577975,0,11.3726664057,2,6994.57787672,5.17559412131,1487868.53263855,6994.57787671612
76,E02000079,Bexley 015,14.592076954,2.7255927268,27.9837937229,3,9358.71613893,14.0539776115,1647916.47621155,9358.71613893426
77,E02000080,Bexley 016,7.23417605572,0,15.1980312053,2,7380.10264687,6.8421644995,1691864.43100739,7380.10264687287
